Product Name,Price,Quantity,Store,Image
FIDEOS DORIA 250 GRS,2150,"250 g (g a $ 8,6)",D1,No image found
ARROZ DIANA 500 G,2100,"500 g (g a $ 4,2)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002073.png
ARROZ ECONÓMICO 2000 GRS,7000,"2000 g (g a $ 3,5)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12002541.png
ARROZ ECONÓMICO 454 GRS,1600,"454 g (g a $ 3,52)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000208.png
ARROZ ESTÁNDAR 2500G,9650,"2500 g (g a $ 3,86)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005770.png
ARROZ ESTÁNDAR 500 GRS,1950,"500 g (g a $ 3,9)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12000051.png
ARROZ INTEGRAL DIANA 1.000 G,4500,"1000 g (g a $ 4,5)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003653.png
ARROZ PREMIUM 1000 GRS,4700,"1000 g (g a $ 4,7)",D1,No image found
ARROZ PREMIUM 2500 G,11750,"2500 g (g a $ 4,7)",D1,No image found
ARROZ SABOR A COCO DIANA 1.000 G,6300,"1000 g (g a $ 6,3)",D1,No image found
ARVEJA EL ESTIO 500 GRS,1990,"500 g (g a $ 3,98)",D1,No image found
AZÚCAR BLANCA 1000 GRS,4600,"1000 g (g a $ 4,6)",D1,No image found
AZÚCAR MORENA 1000 GRS,4900,"1000 g (g a $ 4,9)",D1,No image found
ENDULZANTE CON STEVIA NATRI 180 G,6150,"180 g (g a $ 34,17)",D1,No image found
ENDULZANTE FRASCO 180 GRS,4990,"180 g (g a $ 27,72)",D1,No image found
FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,5400,"500 g (g a $ 10,8)",D1,No image found
FRÍJOL CARAOTA GRANIPACK 500 G,3290,"500 g (g a $ 6,58)",D1,No image found
FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,6550,"500 g (g a $ 13,1)",D1,No image found
FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,5200,"500 g (g a $ 10,4)",D1,No image found
GARBANZO EL ESTÍO 500 GRS,2990,"500 g (g a $ 5,98)",D1,No image found
LENTEJA EL ESTÍO 500 GRS,3500,500 g (g a $ 7),D1,No image found
MAÍZ PIRA EL ESTÍO 500 GRS,2250,"500 g (g a $ 4,5)",D1,No image found
PANELA PASTILLA 1000 G,6200,"1000 g (g a $ 6,2)",D1,No image found
PANELA PULVERIZADA EL REFUGIO 500 G,3300,"500 g (g a $ 6,6)",D1,No image found
PANELA TRONQUITOS X 900 G,6990,"900 g (g a $ 7,77)",D1,No image found
GRANO ENTERO DE QUINUA 300G,5250,"300 g (g a $ 17,5)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12003645.png
HARINA DE MAIZ AMARILLA PAN 800 G,2700,"800 g (g a $ 3,38)",D1,https://stockimages.tiendasd1.com/stockimages.tiendasd1.com/kobastockimages/IMAGENES/12005432.png
